结果时间,源节点名称,源测试地址,源信息: 分组名,目的节点名称,目的测试地址,目的信息: 分组名,解析时间,丢包,发包数,丢包数,时延,最大时延,最小时延,STD 时延,抖动,最大抖动,最小抖动,STD 抖动,结果 IP 地址,结果国家名称,结果省名称,结果归属地
2013-02-27 17:48:00.020319,天空软件站,222.50.124.110,NULL,天空软件站,www.skycn.com,下载类,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,125.39.78.230,中国,天津, 联通
2013-02-27 17:48:02.462932,pagechoice.net,222.50.124.70,NULL,pagechoice.net,pagechoice.net,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-27 17:48:09.062251,mop.com,222.50.124.2,NULL,mop.com,mop.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,211.100.39.135,中国,北京, 电信
2013-02-27 17:48:09.232251,广州妈妈网,123.89.176.38,NULL,广州妈妈网,www.gzmama.com,网页类,NULL,0.000,100,0,17.22,39.08,16.65,2.25,0.80,22.36,0.00,3.14,58.248.62.30,中国,广东, 联通
2013-02-27 17:48:11.758622,qpic.cn,222.50.124.26,NULL,qpic.cn,qpic.cn,广东铁通TOPn网站,NULL,0.000,100,0,24.64,25.32,24.26,0.18,0.20,0.85,0.00,0.17,112.90.139.50,中国,广东, 联通
2013-02-27 17:48:16.686289,qq邮箱,222.50.124.22,NULL,qq邮箱,www.mail.qq.com,网页类,NULL,0.000,100,0,6.61,8.26,4.84,0.73,0.79,3.07,0.00,0.67,120.196.210.104,中国,广东, 移动
2013-02-27 17:48:19.125510,华军软件园,222.50.124.90,NULL,华军软件园,www.onlinedown.net,下载类,NULL,0.000,100,0,34.79,37.28,34.14,0.85,0.57,3.10,0.00,0.84,221.130.12.61,中国,江苏, 移动
2013-02-27 17:48:19.430561,360.cn,222.50.124.90,NULL,360.cn,360.cn,广东铁通TOPn网站,NULL,1.000,100,1,76.50,77.05,76.13,0.19,0.23,0.74,0.00,0.18,125.39.100.74,中国,天津, 联通
2013-02-27 17:48:20.693448,3393.com,222.50.124.50,NULL,3393.com,3393.com,广东铁通TOPn网站,NULL,0.000,100,0,8.27,10.50,7.91,0.29,0.22,2.35,0.00,0.36,121.10.173.39,中国,广东, 电信
2013-02-27 17:48:32.456965,56.com,222.50.124.110,NULL,56.com,56.com,广东铁通TOPn网站,NULL,0.000,100,0,2.50,2.98,2.39,0.10,0.10,0.56,0.00,0.11,112.90.57.7,中国,广东, 联通
2013-02-27 17:48:33.293450,工商银行,222.50.124.26,NULL,工商银行,www.icbc.com.cn,网页类,NULL,0.000,100,0,62.80,63.28,62.54,0.16,0.18,0.56,0.01,0.14,125.39.39.42,中国,天津, 联通
2013-02-27 17:48:35.196617,5599.com,222.50.124.70,NULL,5599.com,5599.com,广东铁通TOPn网站,NULL,0.000,100,0,40.14,41.21,39.91,0.19,0.18,1.19,0.00,0.21,115.182.2.63,中国,北京, 移动
2013-02-27 17:48:43.805005,126.net,222.50.124.26,NULL,126.net,126.net,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-27 17:48:44.767497,kukuplay.com,222.50.124.110,NULL,kukuplay.com,kukuplay.com,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-27 17:48:46.476048,iqiyi.com,222.50.124.90,NULL,iqiyi.com,iqiyi.com,广东铁通TOPn网站,NULL,0.000,100,0,39.34,39.92,39.12,0.14,0.12,0.73,0.00,0.12,202.108.14.56,中国,北京, 联通
2013-02-27 17:48:46.781234,土豆网,222.50.124.106,NULL,土豆网,www.tudou.com,网页类,NULL,1.000,100,1,108.49,113.87,105.31,1.86,0.72,2.42,0.01,0.54,123.126.98.148,中国,北京, 联通
2013-02-27 17:48:52.131813,广州网,222.50.124.2,NULL,广州网,www.020.com,网页类,NULL,60.000,100,60,3.67,4.22,3.59,0.10,0.07,0.60,0.00,0.12,120.31.61.171,中国,广东, 铁通
2013-02-27 17:48:56.149438,poco,222.50.124.58,NULL,poco,www.poco.cn,网页类,NULL,2.000,100,2,66.58,74.37,66.06,1.10,0.67,8.18,0.00,1.41,122.143.8.199,中国,吉林, 联通
2013-02-27 17:48:59.944630,土豆网,222.50.124.18,NULL,土豆网,www.tudou.com,网页类,NULL,0.000,100,0,46.87,47.05,46.74,0.07,0.08,0.26,0.00,0.06,123.126.98.146,中国,北京, 联通
2013-02-27 17:49:00.194114,baofeng.com,222.50.124.102,NULL,baofeng.com,baofeng.com,广东铁通TOPn网站,NULL,0.000,100,0,67.08,67.88,66.78,0.21,0.20,0.93,0.00,0.21,60.28.110.232,中国,天津, 联通
