结果时间,源测试地址,源信息: 分组名,目的测试地址,目的信息: 分组名,解析时间,连接时间,首字节时间,首屏打开时间,下载时间,页面加载时间,总时间,吞吐率,综合质量,解析成功率,连接成功率,首页加载成功率,加载比例,成功率,结果 IP 地址,结果国家名称,结果省名称,结果归属地,下载大小,内容大小,返回码,附加项,元素数量
2013-02-26 22:47:25.663450,222.50.124.2,NULL,letv.com,广东铁通TOPn网站,0.26,35.91,36.72,421.95,3200.84,4557.42,4901.64,94.77,68.4,100.00,100.00,100.00,100.00,100.00,220.181.117.38,中国,北京, 电信,303.3,292.2,301,30,30
2013-02-26 22:47:27.637159,222.50.124.70,NULL,57.net,广东铁通TOPn网站,0.48,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,61.160.234.11,中国,江苏, 电信,NULL,NULL,NULL,1,1
2013-02-26 22:47:30.225271,222.50.124.54,NULL,twsapp.com,广东铁通TOPn网站,0.19,0.78,2.82,3.80,7.57,10.99,10.99,508.16,95.9,100.00,100.00,100.00,100.00,100.00,211.98.70.195,中国,湖南, 铁通,3.8,2.9,200,5,5
2013-02-26 22:47:32.850394,222.50.124.50,NULL,qzoneapp.com,广东铁通TOPn网站,0.26,21.17,36.62,123.19,3811.63,4904.00,5543.77,39.55,56.2,100.00,90.00,100.00,90.00,100.00,58.251.150.154,中国,广东, 联通,150.7,146.7,200,20,20
2013-02-26 22:47:41.694044,222.50.124.18,NULL,www.qzone.qq.com,网页类,0.25,4.96,8.10,126.55,146.12,197.76,197.76,178.55,89.9,100.00,100.00,100.00,100.00,100.00,112.90.140.193,中国,广东, 联通,26.1,24.7,302,6,6
2013-02-26 22:47:42.278816,222.50.124.110,NULL,kankan.com,广东铁通TOPn网站,0.24,38.19,38.80,298.14,2591.86,1856.65,3557.19,198.73,82.6,100.00,100.00,100.00,100.00,100.00,60.217.235.188,中国,山东, 联通,515.1,497.7,302,50,58
2013-02-26 22:47:43.755594,222.50.124.54,NULL,csbew.com,广东铁通TOPn网站,0.44,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,219.232.255.100,中国,北京, 其它运营商,NULL,0.1,403,1,1
2013-02-26 22:47:44.302431,222.50.124.90,NULL,youdao.com,广东铁通TOPn网站,0.26,57.22,57.12,243.74,807.41,1239.20,1239.20,20.32,60.3,100.00,100.00,100.00,100.00,100.00,61.135.218.26,中国,北京, 联通,16.4,14.3,302,6,6
2013-02-26 22:47:48.259962,222.50.124.70,NULL,acs86.com,广东铁通TOPn网站,0.49,NULL,NULL,NULL,0.00,NULL,NULL,NULL,NULL,100.00,0.00,0.00,0.00,0.00,117.79.81.134,中国,北京, 其它运营商,NULL,0.1,403,1,1
2013-02-26 22:47:49.698133,222.50.124.30,NULL,www.jiayuan.com,网页类,0.26,37.49,41.17,156.35,4203.53,5627.65,6393.92,47.66,60.8,100.00,100.00,100.00,100.00,100.00,59.151.18.32,中国,北京, 其它运营商,200.4,186.6,200,33,33
