结果时间,源测试地址,源信息: 分组名,目的测试地址,目的信息: 分组名,解析时间,丢包,发包数,丢包数,时延,最大时延,最小时延,STD 时延,抖动,最大抖动,最小抖动,STD 抖动,结果 IP 地址,结果国家名称,结果省名称,结果归属地
2013-02-26 22:40:06.936743,222.50.124.110,NULL,www.sina.com.cn,网页类,NULL,0.000,100,0,29.49,29.88,29.38,0.09,0.09,0.41,0.00,0.09,211.98.132.66,中国,北京, 铁通
2013-02-26 22:40:10.210677,222.50.124.26,NULL,gtags.net,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-26 22:40:10.677360,222.50.124.90,NULL,https://play.google.com/store,网页类,NULL,0.000,100,0,0.67,3.46,0.55,0.28,0.10,2.83,0.00,0.39,211.98.70.195,中国,湖南, 铁通
2013-02-26 22:40:13.084347,222.50.124.82,NULL,www.jiayuan.com,网页类,NULL,0.000,100,0,36.11,37.53,35.87,0.21,0.22,1.39,0.00,0.22,59.151.18.32,中国,北京, 其它运营商
2013-02-26 22:40:24.490838,222.50.124.106,NULL,www.youku.com,网页类,NULL,0.000,100,0,32.51,32.98,32.20,0.15,0.13,0.72,0.00,0.14,122.72.120.241,中国,中国NDC, 铁通
2013-02-26 22:40:27.103751,222.50.124.90,NULL,sinajs.cn,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-26 22:40:35.588383,222.50.124.50,NULL,yy.com,广东铁通TOPn网站,NULL,3.000,100,3,123.36,123.84,123.03,0.17,0.19,0.81,0.00,0.16,61.55.172.36,中国,河北, 联通
2013-02-26 22:40:39.508470,222.50.124.2,NULL,pengyou.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101.226.49.38,中国,上海, 电信
2013-02-26 22:40:40.625891,222.50.124.90,NULL,2nike.org,广东铁通TOPn网站,NULL,100.000,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,255.255.255.255,NULL,NULL,NULL
2013-02-26 22:40:43.109311,222.50.124.50,NULL,2345.com,广东铁通TOPn网站,NULL,0.000,100,0,37.97,45.20,37.43,1.17,0.60,7.57,0.00,1.22,211.151.66.100,中国,北京, 联通
2013-02-26 22:40:44.279113,222.50.124.110,NULL,baidu.com,广东铁通TOPn网站,NULL,100.000,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,123.125.114.144,中国,北京, 其它运营商
2013-02-26 22:40:47.213454,222.50.124.10,NULL,www.jiayuan.com,网页类,NULL,0.000,100,0,32.50,39.19,31.71,1.57,0.70,6.13,0.00,1.19,59.151.18.32,中国,北京, 其它运营商
2013-02-26 22:40:48.538005,222.50.124.78,NULL,www.163.com,网页类,NULL,1.000,100,1,42.75,45.79,41.96,0.52,0.53,3.40,0.01,0.53,223.87.1.59,中国,四川, 移动
2013-02-26 22:40:53.586290,222.50.124.110,NULL,ip138.com,广东铁通TOPn网站,NULL,0.000,100,0,43.00,50.57,42.42,1.48,0.63,7.78,0.00,1.75,122.70.142.161,中国,北京, 铁通
2013-02-26 22:40:56.048790,222.50.124.82,NULL,www.kankan.com,网页类,NULL,0.000,100,0,2.79,3.02,2.68,0.06,0.06,0.18,0.00,0.04,61.235.96.93,中国,广东, 铁通
